Date,ETH_Close,ETH_Volume,Log return ETH,Number of sales in all segments,Active market wallets in all segments,Average USD,Sales USD
2021-11-30,4631.479004,28626354111,0.01783767744,149787,74463,625.42,93680472.11
2021-12-01,4586.990234,27634826695,-0.004191884102,151946,76641,705.98,107270503.1
2021-12-02,4511.302246,21502671027,-0.007225890772,125957,68655,624.99,78722322.85
2021-12-03,4220.706055,25879591528,-0.02891681733,119018,65974,736.74,87685108.44
2021-12-04,4119.587402,38478999182,-0.01053138602,137151,67379,494.87,67871562
2021-12-05,4198.322754,25533062707,0.008222101368,121974,61757,584.38,71278800.45
2021-12-06,4358.737305,28229518513,0.01628487275,119964,57902,586.12,70313644.28
2021-12-07,4315.061523,22366213354,-0.004373703335,114043,58790,586.72,66911390.67
2021-12-08,4439.35791,18704315119,0.01233316798,163126,72711,414.28,67580441.27
2021-12-09,4119.815918,22296131874,-0.03244234886,99794,63618,999.44,99738029.82
2021-12-10,3908.496094,28014595631,-0.022868129,93212,59705,822.24,76642404.78
2021-12-11,4084.452393,19131502454,0.01912415616,102463,67582,871.95,89342853.27
2021-12-12,4134.453125,14057603914,0.005284233978,98436,63639,719.8,70854306.24
2021-12-13,3784.226807,23999841386,-0.03844091454,90883,64109,1355.47,123189454.4
2021-12-14,3745.44043,23836759957,-0.004474263726,94736,67803,1178.88,111682425
2021-12-15,4018.388672,26411188833,0.03054904671,93230,65241,842.47,78543654.9
2021-12-16,3962.469727,19825531254,-0.006085983601,98896,68458,908.88,89884240.45
2021-12-17,3879.486572,23143541098,-0.009191704267,82847,58601,910.21,75407854.76
2021-12-18,3960.860107,19530895889,0.009015250905,77906,57357,704.65,54896530.52
2021-12-19,3922.592529,16167785597,-0.004216307058,92541,57048,579.2,53599969.7
2021-12-20,3933.844482,21589690675,0.001243989975,86011,57784,606.98,52206964.05
2021-12-21,4020.26001,16388555198,0.009436955142,75131,56061,722.68,54295350.07
2021-12-22,3982.099609,13921756199,-0.004142022602,76968,55791,730.55,56229016.49
2021-12-23,4108.015625,18007273742,0.01351996743,75075,59316,860.58,64607683.5
2021-12-24,4047.98291,12769090623,-0.006393416478,67782,52479,1102.55,74733028.66
2021-12-25,4093.281006,10894785525,0.004832889918,55859,45464,906.38,50629625.87
2021-12-26,4067.328125,11197244172,-0.002762350414,75355,56419,1102.78,83099801.19
2021-12-27,4037.547607,11424360002,-0.003191553645,69290,56448,1483.51,102792469.2
2021-12-28,3800.893066,17299472803,-0.02623200479,79946,62493,1083.25,86601652.59
2021-12-29,3628.531738,15722555672,-0.02015472526,67304,54599,1152.11,77541785.83
2021-12-30,3713.852051,12925377999,0.01009367261,75117,57215,1032.82,77582663.28
2021-12-31,3682.632813,14157285268,-0.003666180235,66233,52959,1454.58,96340928.75
2022-01-01,3769.697021,9776191466,0.0101480279,75000,57459,1787.24,134042993.7
2022-01-02,3829.564941,9881471548,0.006842992214,71873,61631,2184.02,156972315.6
2022-01-03,3761.380371,12080777893,-0.007802184766,76277,60751,1966.94,150032220.2
2022-01-04,3794.056641,14030925983,0.003756556294,89855,66237,1646.43,147940266.9
2022-01-05,3550.386963,18061338502,-0.02882811997,96384,66404,1242.16,119724252.2
2022-01-06,3418.408203,24293791313,-0.0164517682,78045,60348,1393.12,108726157.5
2022-01-07,3193.210449,24494179209,-0.02959638024,83588,60920,1189.1,99394841.63
2022-01-08,3091.972656,16037732700,-0.01399189716,77697,58360,1364.77,106038581.1
2022-01-09,3157.751465,12334683863,0.009142300736,91576,64550,1430.45,130994625.2
2022-01-10,3083.0979,19535744145,-0.01039062986,70565,51678,1311.25,92528542.26
2022-01-11,3238.111572,15211447193,0.02130449324,85757,56969,1032.56,88549415.65
2022-01-12,3372.258301,16662871689,0.01762902371,86778,61233,1688.57,146530476
2022-01-13,3248.288574,15294466275,-0.01626622791,103094,66903,1161.26,119718751
2022-01-14,3310.001465,13562957230,0.008173581518,88853,63571,1320.54,117334122.1
2022-01-15,3330.530762,9619999078,0.00268526332,109334,70432,1192.41,130370737
2022-01-16,3350.921875,9505934874,0.002650853289,144841,88138,986.06,142822558.4
2022-01-17,3212.304932,12344309617,-0.0183475381,90130,75036,1013.35,91333092.36
2022-01-18,3164.025146,13024154091,-0.006576838119,75634,65533,1113.49,84217458.7
2022-01-19,3095.825928,13187424144,-0.009463393181,109297,74395,1006.24,109979457.1
2022-01-20,3001.120117,10645922764,-0.0134931552,140469,100839,1222.91,171781575.5
2022-01-21,2557.931641,26796291874,-0.06939444393,92105,71418,1372.16,126383059.8
2022-01-22,2405.181152,27369692036,-0.0267411422,68765,56980,1123.85,77281547.05
2022-01-23,2535.039063,16481489511,0.02283686399,75980,56578,1050.65,79828594.66
2022-01-24,2440.352295,28220804648,-0.01653212923,78029,54924,881.53,68784827.64
2022-01-25,2455.935059,16179776932,0.002764352162,97271,67970,1750.65,170287467.7
2022-01-26,2468.030273,21229909340,0.002133603675,94001,66177,1949.93,183295645.2
2022-01-27,2423.001221,16126522783,-0.007996849487,84770,63413,2202.07,186669645.7
2022-01-28,2547.092041,14666227351,0.0216910058,79232,63162,1581.77,125326481
2022-01-29,2597.084717,11172062661,0.008441477772,98506,62816,1452.37,143066832.5
2022-01-30,2603.466553,9501221177,0.00106588606,83670,61580,1978.92,165576453.2
2022-01-31,2688.278809,13778234614,0.013922306,87150,68701,2193.08,191126573.9
2022-02-01,2792.117188,13194846235,0.01645933349,99073,71422,1995.36,197686511.8
2022-02-02,2682.854004,13876301217,-0.01733660231,79720,63254,1442.55,114999912.6
2022-02-03,2679.162598,12755505065,-0.000597968126,86781,63449,1392.19,120816036.5
2022-02-04,2983.586914,18987223729,0.04673962199,86483,67322,1358.48,117485774.9
2022-02-05,3014.648193,13102093957,0.004497943949,68559,53195,1340.28,91888393.84
2022-02-06,3057.476074,9466018022,0.006126429571,73849,53695,1051.42,77645955.03
2022-02-07,3142.470703,15197063785,0.01190817029,102635,79247,1934.46,198543059.8
2022-02-08,3122.608643,17136080906,-0.002753680035,103720,83466,858.67,89061701.78
2022-02-09,3239.457031,13951308490,0.01595466628,95837,78206,1485.57,142372782.8
2022-02-10,3077.482178,18629485080,-0.02227667716,101251,81555,965.1,97716960.5
2022-02-11,2927.383545,16043881065,-0.02171591926,89897,74512,1117.4,100450990.2
2022-02-12,2917.362793,11254355757,-0.001489187489,89541,70753,2543.31,227730246.8
2022-02-13,2883.463379,9054963563,-0.005075999729,81509,63481,2302.04,187636995.5
2022-02-14,2933.479004,12164552172,0.007468544067,66879,55271,1046.93,70017347.7
2022-02-15,3179.877197,13921257873,0.03502736423,64453,56311,1209.17,77934904.52
2022-02-16,3127.830078,12352406833,-0.007167196767,59670,52413,1222.29,72933806.86
2022-02-17,2881.481934,15860206214,-0.03562725058,64797,52564,920.53,59647716.22
2022-02-18,2785.727539,15748173433,-0.0146772635,63717,55849,1063.87,67786794.63
2022-02-19,2763.701172,9774183169,-0.00344755483,70577,56130,754.88,53276971.21
2022-02-20,2628.648438,11641437834,-0.02175857635,68676,51941,897.76,61654321.87
2022-02-21,2573.816162,18646392740,-0.009154982707,62841,53447,1066.18,66999655.81
2022-02-22,2639.299316,16360200507,0.01091112155,72006,54856,882.49,63544743.72
2022-02-23,2590.359619,13382637240,-0.008128583944,76913,60300,1036.04,79685095.56
2022-02-24,2598.067139,29312342666,0.001290308613,54715,48159,1385.46,75805358.09
2022-02-25,2764.535645,17208902048,0.02697182408,61083,50491,1211.01,73972036.48
2022-02-26,2781.111816,11724648351,0.002596256284,67145,54303,973.61,65372875.07
2022-02-27,2621.801758,16150857254,-0.02561859991,52685,47374,1287.98,67857476.66
2022-02-28,2919.201172,19266124733,0.04666417438,53837,44332,831.49,44764686.6
2022-03-01,2972.485107,18757425786,0.00785566264,58299,46919,657,38302496.77
2022-03-02,2950.118408,16636517503,-0.003280239884,64024,51217,840.82,53832367.12
2022-03-03,2834.468994,13091199728,-0.01736773683,56550,46647,891.1,50391443.74
2022-03-04,2617.156006,14496939024,-0.03464209938,61588,49810,969.13,59686771.38
2022-03-05,2664.831055,8072368396,0.007840069565,64974,47619,756.4,49146175.31
2022-03-06,2555.037354,8872976607,-0.01827242703,45166,39673,718.54,32453731.8
2022-03-07,2497.77124,14594098731,-0.009844593075,47223,41660,840.21,39677196.92
2022-03-08,2576.747559,13922922903,0.01351921259,37397,35182,1134.25,42417693.44
2022-03-09,2729.783447,14173665398,0.02505632264,40880,36906,886.48,36239467.09
2022-03-10,2608.048584,13292477213,-0.01981251856,41219,36122,901.99,37179250.57
2022-03-11,2559.562988,12382419582,-0.008149855862,39696,35276,1445.19,57368379.67
2022-03-12,2574.75415,6532996574,0.002569945294,49362,36399,1200.84,59275721.77
2022-03-13,2518.94458,8632000379,-0.009517154246,46406,36454,1066.71,49501658.15
2022-03-14,2590.696045,11244398839,0.01219784954,37533,33922,905.33,33979812.32
2022-03-15,2620.149658,12861105614,0.004909636,41723,36442,959.26,40023173.18
2022-03-16,2772.055664,17915109769,0.02447584873,35989,32207,1670.14,60106609.33
2022-03-17,2814.854492,12685265194,0.006654002989,36960,32072,3091.28,114253562.5
2022-03-18,2945.343018,15830879093,0.01967993067,35712,32820,2638.68,94232404.28
2022-03-19,2946.25708,11576463120,0.0001347586663,37511,32717,2542.85,95384707.03
2022-03-20,2860.459229,12684727326,-0.01283487715,40625,34436,1610.24,65415877.89
2022-03-21,2897.976563,15206116098,0.005659106837,37741,32258,1516.98,57252300.12
2022-03-22,2973.131104,16830539230,0.01111919154,37348,31337,1245.96,46534152.82
2022-03-23,3031.067139,16008767658,0.008381495825,39605,33489,1467.33,58113755.59
2022-03-24,3108.062012,18070503166,0.01089411903,40075,33916,1818.71,72884838.07
2022-03-25,3106.671387,17030503831,-0.0001943577416,45914,34674,1393.48,63980073.88
2022-03-26,3143.178955,8876420740,0.005073790506,28885,27023,1844.44,53276567.91
2022-03-27,3291.577637,13431866834,0.02003499505,34387,30472,1549.46,53281266.45
2022-03-28,3336.634521,20620450770,0.005904535655,44276,32905,1163.17,51500724.26
2022-03-29,3401.987793,19533323636,0.008424112228,33213,29898,1388.3,46109467.89
2022-03-30,3385.157959,15302506131,-0.002153812305,31266,24439,1948.14,60910518.86
2022-03-31,3281.642822,17685495686,-0.01348762849,23481,23343,3451.24,81038523.19
2022-04-01,3449.552246,20982988937,0.02167141689,21343,20812,4142.17,88406243.57
2022-04-02,3445.059326,23571556215,-0.00056602192,26530,24506,4139.85,109830226.6
2022-04-03,3522.833496,15333808649,0.009695411953,45028,32547,2859.89,128775236.8
2022-04-04,3521.241211,18209969743,-0.0001963410752,38610,30428,2572.59,99327562.11
2022-04-05,3411.79248,16681503199,-0.01371316837,29590,27706,2539.72,75150229.51
2022-04-06,3171.691895,25632563639,-0.03169161524,59493,47876,948.62,56436373.01
2022-04-07,3233.274658,16745496605,0.008351605938,54353,46348,1259.14,68438043.81
2022-04-08,3192.073975,17557050669,-0.005569650938,43451,38577,1048.86,45574094.21
2022-04-09,3261.91626,9908112156,0.009399860237,38441,33400,1315.49,50568591.73
2022-04-10,3211.866943,10427054790,-0.006715262029,38155,30648,1207.68,46078843.22
2022-04-11,2981.052246,21891804831,-0.03238795804,38308,30780,1180.89,45237718.53
2022-04-12,3030.376465,20235707410,0.007126996892,30967,28175,1423.06,44068027.73
2022-04-13,3118.344238,16088473629,0.01242747137,37062,31592,1570.56,58207949.32
2022-04-14,3019.909424,15821419931,-0.01393013844,43575,34233,1291.97,56297506.04
2022-04-15,3040.916504,11256651536,0.003010578283,35700,30763,1312.2,46845631.9
2022-04-16,3062.310303,8766710365,0.003044699862,43957,36634,4781.62,210185589.3
2022-04-17,2993.40332,10463091281,-0.009883959522,33249,28074,3417.73,113636143.6
2022-04-18,3057.606689,18629381299,0.009216383799,38669,32460,2651.98,102549364.6
2022-04-19,3104.106445,14156035096,0.006554985725,37630,32843,2624.85,98772954.38
2022-04-20,3077.74585,15547362265,-0.003703851141,32189,29460,2984.58,96070627.45
2022-04-21,2987.480713,20783591093,-0.0129276442,33667,29379,3062.68,103111090.8
2022-04-22,2964.835693,16782795477,-0.003304479804,39121,32878,2184.5,85459763.95
2022-04-23,2938.114014,9116955609,-0.003931985731,45288,34067,1953.52,88470966.94
2022-04-24,2922.732666,9696829579,-0.002279551151,43899,33747,2303.12,101104669.4
2022-04-25,3009.393555,22332690614,0.01268989304,42661,36478,2533.64,108087417.2
2022-04-26,2808.29834,19052045399,-0.03003574329,60018,41476,1712.09,102755977.3
2022-04-27,2888.929688,17419284041,0.01229372868,60046,42942,1353.11,81248976.63
2022-04-28,2936.940918,18443524633,0.007158238045,61689,42359,1516.63,93559166.23
2022-04-29,2815.601807,18771041399,-0.01832397472,41209,31275,2163.3,89147280.46
2022-04-30,2730.186768,13520941867,-0.01337887776,52808,34564,1855.98,98010546.87
2022-05-01,2827.756104,15332730152,0.01524959103,120294,68540,6728.63,809413817.9
2022-05-02,2857.4104,18609741545,0.004530672553,109711,49923,2619.41,287378197
2022-05-03,2783.476318,13026093219,-0.01138509043,84575,43732,1716.44,145167991.1
2022-05-04,2940.644775,18186749944,0.02385503497,55475,37326,2893.93,160540965.5
2022-05-05,2749.213135,22642925048,-0.02923415544,64145,40772,3091.5,198304124.4
2022-05-06,2694.979736,21027599270,-0.008652906181,56402,38398,2209.34,124611195.4
2022-05-07,2636.093018,13369276367,-0.00959477316,52878,34520,1774.74,93844548.28
2022-05-08,2517.459961,20802269935,-0.01999815881,39607,26354,1431.82,56709921.54
2022-05-09,2245.43042,36333567678,-0.04966297007,41278,30210,2010.61,82993936.44
2022-05-10,2343.510986,38202099639,0.0185673918,43526,34946,2987.46,130031993
2022-05-11,2072.108643,45743399154,-0.05345447154,29983,23214,2586.15,77540658.44
2022-05-12,1961.701538,42463486402,-0.02377958965,28193,22577,2257.47,63644905.94
2022-05-13,2014.418213,24816096567,0.0115167068,30736,25481,2557.08,78594545.14
2022-05-14,2056.273926,15457044616,0.008931329227,29803,23344,2155.83,64250147.3
2022-05-15,2145.706787,14846088335,0.0184894063,26137,20186,1359.99,35546036.71
2022-05-16,2022.725952,21459552191,-0.02563332832,26357,20775,1272.39,33536374.64
2022-05-17,2090.40918,18509929297,0.01429425733,26262,21493,1291.55,33918700.48
2022-05-18,1916.656128,17740965589,-0.0376871019,35509,27882,1194.83,42427321.14
2022-05-19,2018.336182,18734247914,0.0224493037,35018,25048,1069.57,37454097.99
2022-05-20,1961.315674,15892482289,-0.01244600668,49864,31551,978.6,48796853.82
2022-05-21,1974.518311,8546822406,0.002913666544,42621,28361,752.26,32062045.6
2022-05-22,2043.170166,10941123403,0.01484337289,40330,28830,856.04,34523974.6
2022-05-23,1972.181885,16434529708,-0.0153575731,30242,23005,1111.73,33620876.8
2022-05-24,1978.982788,13057109007,0.001495051614,26595,20183,1085.61,28871681.86
2022-05-25,1944.827881,13364545730,-0.007560845077,48442,28886,719.77,34867306.16
2022-05-26,1803.91333,23458681818,-0.03266550412,37576,27821,1159.23,43559273.77
2022-05-27,1724.922852,25470760032,-0.01944599198,30338,23977,1196.4,36296338.56
